DATE,CITY,ENERGY_GENERATED
2024-02-01,Gandhinagar,326.41
2024-03-01,Gandhinagar,387.255
2024-04-01,Gandhinagar,400.79
2024-05-01,Gandhinagar,445.45
2024-06-01,Gandhinagar,404.66
2024-07-01,Gandhinagar,289.34000000000003
2024-08-01,Gandhinagar,272.195
2024-09-01,Gandhinagar,287.545
2024-10-01,Gandhinagar,291.035
2024-11-01,Gandhinagar,275.58
2024-12-01,Gandhinagar,262.985
2016-01-01,Guwahati,196.69
2016-02-01,Guwahati,248.01
2016-03-01,Guwahati,296.895
2016-04-01,Guwahati,317.47
2016-05-01,Guwahati,267.54
2016-06-01,Guwahati,280.725
2016-07-01,Guwahati,232.365
2016-08-01,Guwahati,291.17499999999995
2016-09-01,Guwahati,234.45
2016-10-01,Guwahati,259.3
2016-11-01,Guwahati,242.335
2016-12-01,Guwahati,223.47
2017-01-01,Guwahati,234.3
2017-02-01,Guwahati,263.285
2017-03-01,Guwahati,269.23
2017-04-01,Guwahati,281.93
2017-05-01,Guwahati,286.045
2017-06-01,Guwahati,258.475
2017-07-01,Guwahati,271.57000000000005
2017-08-01,Guwahati,251.15
2017-09-01,Guwahati,225.43
2017-10-01,Guwahati,241.02
2017-11-01,Guwahati,243.42
2017-12-01,Guwahati,216.005
2018-01-01,Guwahati,215.91
2018-02-01,Guwahati,236.555
2018-03-01,Guwahati,283.96500000000003
2018-04-01,Guwahati,277.94000000000005
2018-05-01,Guwahati,254.97000000000003
2018-06-01,Guwahati,267.92
2018-07-01,Guwahati,257.495
2018-08-01,Guwahati,273.13
2018-09-01,Guwahati,235.57
2018-10-01,Guwahati,259.47
2018-11-01,Guwahati,234.85
2018-12-01,Guwahati,209.99
2019-01-01,Guwahati,240.65
2019-02-01,Guwahati,237.71
2019-03-01,Guwahati,294.49
2019-04-01,Guwahati,266.605
2019-05-01,Guwahati,249.0
2019-06-01,Guwahati,261.87
2019-07-01,Guwahati,237.29
2019-08-01,Guwahati,294.75
2019-09-01,Guwahati,219.49
2019-10-01,Guwahati,228.09
2019-11-01,Guwahati,225.195
2019-12-01,Guwahati,203.86
2020-01-01,Guwahati,200.395
2020-02-01,Guwahati,231.33
2020-03-01,Guwahati,293.295
2020-04-01,Guwahati,301.045
2020-05-01,Guwahati,274.335
2020-06-01,Guwahati,258.725
2020-07-01,Guwahati,208.325
2020-08-01,Guwahati,275.11
2020-09-01,Guwahati,214.32
2020-10-01,Guwahati,246.6
2020-11-01,Guwahati,242.255
2020-12-01,Guwahati,210.25
2021-01-01,Guwahati,195.035
2021-02-01,Guwahati,251.78000000000003
2021-03-01,Guwahati,296.185
2021-04-01,Guwahati,344.18999999999994
2021-05-01,Guwahati,256.795
2021-06-01,Guwahati,257.8
2021-07-01,Guwahati,246.085
2021-08-01,Guwahati,247.84
2021-09-01,Guwahati,276.32
2021-10-01,Guwahati,246.41000000000005
2021-11-01,Guwahati,239.45
2021-12-01,Guwahati,213.84
2022-01-01,Guwahati,207.015
2022-02-01,Guwahati,237.655
2022-03-01,Guwahati,292.015
2022-04-01,Guwahati,247.055
2022-05-01,Guwahati,265.29
2022-06-01,Guwahati,213.27
2022-07-01,Guwahati,281.695
2022-08-01,Guwahati,282.84000000000003
2022-09-01,Guwahati,248.745
2022-10-01,Guwahati,238.46
2022-11-01,Guwahati,255.605
2022-12-01,Guwahati,206.77
2023-01-01,Guwahati,224.27
2023-02-01,Guwahati,237.605
2023-03-01,Guwahati,274.61
2023-04-01,Guwahati,336.47
2023-05-01,Guwahati,325.845
2023-06-01,Guwahati,255.67
2023-07-01,Guwahati,273.35
2023-08-01,Guwahati,243.14
2023-09-01,Guwahati,272.68
2023-10-01,Guwahati,246.925
2023-11-01,Guwahati,249.89
2023-12-01,Guwahati,208.335
2024-01-01,Guwahati,207.12
